67	Train	10.7842	25887	1418	18686	14144
67	Valid	8.4910	2972	68	2177	1464
68	Train	10.7834	25879	1426	18533	14297
68	Valid	8.4902	2973	67	2166	1475
69	Train	10.7826	25949	1356	18531	14299
69	Valid	8.4893	2970	70	2190	1451
70	Train	10.7818	25860	1445	18803	14027
70	Valid	8.4886	2974	66	2183	1458
71	Train	10.7820	25818	1487	18890	13940
71	Valid	8.4885	2948	92	2278	1363
72	Train	10.7839	25908	1397	18748	14082
73	Train	10.7806	25917	1388	18824	14006
73	Valid	8.4871	2974	66	2190	1451
74	Train	10.7810	25793	1512	19096	13734
74	Valid	8.4868	2974	66	2181	1460
75	Train	10.7794	25953	1352	18661	14169
75	Valid	8.4850	2971	69	2209	1432
76	Train	10.7792	25976	1329	18688	14142
76	Valid	8.4842	2970	70	2230	1411
77	Train	10.7789	25878	1427	18892	13938
78	Train	10.7777	25926	1379	18832	13998
78	Valid	8.4825	2971	69	2215	1426
79	Train	10.7788	25967	1338	18637	14193
80	Train	10.7804	25830	1475	19290	13540
81	Train	10.7786	25858	1447	18916	13914
82	Train	10.7780	25975	1330	18669	14161
83	Train	10.7756	25975	1330	18774	14056
83	Valid	8.4806	2971	69	2238	1403
84	Train	10.7758	25920	1385	18781	14049
84	Valid	8.4795	2975	65	2214	1427
85	Train	10.7758	25823	1482	19099	13731
86	Train	10.7748	25999	1306	18673	14157
86	Valid	8.4790	2978	62	2218	1423
87	Train	10.7757	26009	1296	18870	13960
88	Train	10.7735	25993	1312	18906	13924
88	Valid	8.4778	2975	65	2241	1400
89	Train	10.7731	26022	1283	18821	14009
89	Valid	8.4769	2977	63	2225	1416
90	Train	10.7729	25838	1467	19285	13545
90	Valid	8.4765	2980	60	2231	1410
91	Train	10.7721	26006	1299	18795	14035
91	Valid	8.4759	2983	57	2222	1419
92	Train	10.7733	26045	1260	18611	14219
92	Valid	8.4758	2984	56	2213	1428
93	Train	10.7745	25815	1490	19368	13462
94	Train	10.7733	25867	1438	19228	13602
95	Train	10.7706	25943	1362	19131	13699
95	Valid	8.4742	2984	56	2243	1398
96	Train	10.7704	25893	1412	19071	13759
96	Valid	8.4735	2979	61	2236	1405
97	Train	10.7708	25850	1455	19342	13488
97	Valid	8.4733	2974	66	2247	1394
98	Train	10.7690	25948	1357	19144	13686
98	Valid	8.4724	2978	62	2255	1386
99	Train	10.7707	25860	1445	19089	13741
100	Train	10.7694	25967	1338	19063	13767
100	Valid	8.4718	2974	66	2275	1366
101	Train	10.7722	25973	1332	18856	13974
102	Train	10.7695	25985	1320	19144	13686
103	Train	10.7700	25992	1313	18971	13859
104	Train	10.7675	25910	1395	19347	13483
104	Valid	8.4698	2984	56	2239	1402
105	Train	10.7680	25882	1423	19511	13319
105	Valid	8.4696	2986	54	2256	1385
106	Train	10.7675	25902	1403	19087	13743
106	Valid	8.4691	2992	48	2235	1406
107	Train	10.7678	25787	1518	19711	13119
108	Train	10.7696	25746	1559	19748	13082
109	Train	10.7678	26019	1286	18947	13883
110	Train	10.7683	25932	1373	19176	13654
111	Train	10.7664	25960	1345	19222	13608
111	Valid	8.4682	2985	55	2274	1367
112	Train	10.7656	25923	1382	19469	13361
112	Valid	8.4670	2990	50	2219	1422
113	Train	10.7662	25907	1398	19303	13527
113	Valid	8.4667	2986	54	2255	1386
114	Train	10.7647	25963	1342	19454	13376
114	Valid	8.4657	2981	59	2260	1381
115	Train	10.7651	25980	1325	19384	13446
116	Train	10.7640	25982	1323	19342	13488
116	Valid	8.4649	2980	60	2267	1374
117	Train	10.7646	26026	1279	18976	13854
118	Train	10.7710	25691	1614	19638	13192
119	Train	10.7681	25766	1539	19739	13091
120	Train	10.7640	25918	1387	19458	13372
121	Train	10.7625	25873	1432	19632	13198
121	Valid	8.4641	2983	57	2236	1405
122	Train	10.7639	26059	1246	19088	13742
122	Valid	8.4639	2986	54	2254	1387
123	Train	10.7627	25954	1351	19484	13346
123	Valid	8.4633	2982	58	2285	1356
124	Train	10.7624	25971	1334	19210	13620
124	Valid	8.4627	2990	50	2262	1379
125	Train	10.7620	25940	1365	19342	13488
125	Valid	8.4623	2989	51	2260	1381
126	Train	10.7621	26017	1288	19221	13609
126	Valid	8.4622	2985	55	2276	1365
127	Train	10.7633	26021	1284	19184	13646
128	Train	10.7623	25845	1460	19883	12947
129	Train	10.7624	25855	1450	19648	13182
130	Train	10.7615	26001	1304	19383	13447
130	Valid	8.4620	2987	53	2284	1357
131	Train	10.7608	25992	1313	19444	13386
131	Valid	8.4608	2991	49	2312	1329
132	Train	10.7616	25927	1378	19388	13442
132	Valid	8.4607	2996	44	2247	1394
